"id","t","site_id","vehicle_id","id-2","name","location_id","direction","longitude","latitude","geom","id-3","make","type","subtype","intro_date","euro_status","fuel_type","engine_capacity","co2","gross_vehicle_weight","fc_combined","fc_extra_urban","fc_urban_cold","taxi_type"
853393,"2017-11-02 17:52:54",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
874549,"2017-11-02 18:49:41",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
880604,"2017-11-02 19:10:06",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
886239,"2017-11-02 19:32:28",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
890428,"2017-11-02 19:51:55",40,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",40,"ANPR 20",20,"W","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
895571,"2017-11-02 20:20:35",39,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",39,"ANPR 20",20,"E","-2.36702398871661","51.3767759952745","0101000020E61000001F15E345AAEF02C098CF20323AB04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
906284,"2017-11-02 21:35:21",44,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",44,"ANPR 22",22,"W","-2.37598398871958","51.3813729952781","0101000020E61000003BF6BAE4030203C004268FD4D0B04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
939582,"2017-11-03 07:20:14",43,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",43,"ANPR 22",22,"E","-2.37598398871958","51.3813729952781","0101000020E61000003BF6BAE4030203C004268FD4D0B04940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
951411,"2017-11-03 07:51:48",25,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",25,"ANPR 13",13,"N","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
958921,"2017-11-03 08:10:00",26,"4e1334a0-edc9-423e-ba33-5cb73e893cf5",26,"ANPR 13",13,"S","-2.35984398870511","51.3913699952862","0101000020E6100000833499E2F5E002C0E831796918B24940","4e1334a0-edc9-423e-ba33-5cb73e893cf5","OPTARE","PSVs","Fare Stage Buses","2004-06-01 00:00:00","","DIESEL",4246,0,0,"","","",""
