"vehicle_id","num_obs"
"","175687"
"d2206bb3-3d4a-47ad-b8b9-852204118dc0","906"
"176e6ebd-ea54-473d-af1f-24ee04ca2fe2","832"
"0bd8529c-683f-4684-a749-66978a7fc86c","813"
"6877397c-cf66-4209-b781-e79ad90c245a","798"
"632abe2a-c223-4739-948e-97554317f6ea","767"
"29b775d9-48a3-4897-aaa5-d5f07268e389","655"
"9616cfdd-370f-4cb4-94c4-08a30dbd8466","653"
"c5cdd03c-55f4-4b26-b5eb-e1398a53b600","649"
"63159ac5-e0f3-43e7-aa93-ab1538644444","638"
"30fcd0fa-f6d5-4437-851c-e88b9337878e","620"
"f9bec355-91e2-44a7-98ba-9a6e3fc6f4b0","602"
"88df84df-f11b-40eb-a4cb-037d1c233b7e","596"
"1a6d1835-0c7d-414d-84fd-af06247e3191","593"
"e47bbe40-6cf7-45ab-981a-925e8ceb7af1","574"
"b4a69978-7d9e-453e-8cd8-7c41190e116a","547"
"8a955577-14ed-4a3d-80c8-2d0e5002b6f8","531"
"87db0b47-efb7-41e7-b27c-dfbde12ce5da","529"
"ad095d54-e691-443f-a447-a4acc8908b2b","524"
"7557f788-50f5-4d69-8364-72d685052e30","522"
"e6ab3f62-7b3f-4a02-a9b8-a39cb9308c4e","521"
"776b947e-9a68-4052-a81b-6cb531535ed6","511"
"3acefbb8-7982-4d21-99c9-8442d712e11f","507"
"f2442840-1392-4895-a9d3-4a9fa73ecc80","493"
"4a5f574f-b026-4e75-8614-aaa299a11909","490"
"be251dc9-932e-47d0-8827-0ab7754b6c64","485"
"1d4a4b45-1142-44e6-bf69-4a63f6a60084","485"
"dc212e45-c332-4106-8fe3-70ba72f73bb8","485"
"6942cb7f-3e2d-43a2-86c4-222676e570fc","482"
"99242953-ac30-45be-ba23-b39998418a4b","466"
"d3acb70b-2a38-48ef-9cfa-4838cf06dbf6","462"
"fd8b6758-9462-4f24-8850-0f5e2eb48ec8","460"
"15310221-1ec7-4a7e-9ac2-4b2bb211ce27","458"
"c8c672cb-c884-452b-ae0a-50861a7267da","458"
"02fdd245-eb6d-43db-b4c0-36952b3ca600","457"
"f04a657f-e844-4d1c-bd2c-f1db96690ccb","456"
"38fe1ed4-d329-40a8-9504-db27c8a94f08","449"
"4a1bc493-5d2a-46b9-96fb-4bce5ceb274c","449"
"7ac5d672-20dc-49d6-b903-04e8421b6932","447"
"3adf9bbf-e240-4f54-b535-e7ecbc264f0c","444"
"1b0e9da7-7378-496b-b196-ca0e3fd2b752","442"
"18a1ec35-e5f2-4a20-b731-0f34244021ab","442"
"f3e158df-aeba-40dc-9994-e07d838b9743","440"
"323420fc-4a9a-4627-b66a-819721791d87","439"
"289dc33b-0852-4e54-9b57-2d800f79a383","439"
"97f11c28-49a0-47db-9024-29eb90758590","432"
"9fe0b6d1-ec46-4718-a98f-440f944c184c","430"
"1624d4cf-2584-4c87-adc5-fb356730805e","430"
"12837bda-8436-4be1-a937-b21c2eeb47fe","427"
"de67cecc-56cd-4463-b5fe-8584271bc7a8","421"
"3532262d-e60e-491d-b689-efb41afb783f","421"
"31f540e6-76f2-4ab7-9b27-c3edd53821b9","418"
"4aad7673-7213-4824-9a15-61bcee61e2df","415"
"bf638538-edc3-47f9-ba6e-35eb13ab33dc","413"
"738544c7-8f93-4e1f-b7a7-0661382073e6","406"
"948efda4-0dd9-42b9-a4a1-23fa97e3ce07","405"
"2ecccafa-c17c-4c34-915e-7fd25454c3e6","397"
"c3ba096b-2e31-43c3-9579-87b1195b9e5b","392"
"d48468e0-577f-4322-ac6c-5fb376d5c3c6","387"
"766cb5c9-f3c8-4875-9564-33a8df302b93","385"
"57b7295e-ee9c-4f70-bc61-b6b80de6d14c","385"
"4a2e15f0-1c5c-4c49-8dfb-a81d8eb47bef","384"
"16924fbc-0c6f-4fbb-9fa4-057d7ae9886d","383"
"fa9fa793-5992-43c2-aa85-c980d94e9efd","380"
"930a2455-dee7-4813-80ec-dd48cba108cc","378"
"cfe35625-fb67-4d5a-b298-6bac0eb5fa72","376"
"44e4cdb9-b7ef-4eb7-9352-3087a39d9b2b","375"
"2fde0ab2-ca8a-49c9-847d-e48257ef00af","374"
"74e17513-ee8c-42fc-8b0d-e818b68695da","373"
"5d2c6e5a-7392-4b57-932d-21556f691b27","372"
"3a6baed5-8c8a-4a73-b661-2475a0af596c","372"
"a831489e-2a15-4add-ba86-9a1753e45669","371"
"6c1a8410-8177-4882-a353-0cf88711566f","368"
"1b27b101-c101-4790-bffe-34c0d716d5b6","365"
"dd2904ff-8289-471c-915d-ba69bf3fee68","364"
"aab76528-e4da-4929-bb35-c612525d18e0","363"
"71a1ce70-989e-480a-99ca-f41f411e26f4","360"
"02f11ac0-cf7c-40b6-800f-4c33c46c6788","359"
"298a5739-e5ee-459f-99b1-b5e4cc534510","359"
"0542f3b7-7149-44b9-96ea-1b4203443fc8","358"
"ac525a63-be51-4a79-a2ec-a9f346efea9e","357"
"2ceed020-f406-4ca9-87f7-23ffa7665336","354"
"227d4a31-1bd9-4343-a0da-957d4e4c86f8","354"
"5519f85c-c38b-4e55-abee-56f461dee1e0","351"
"323209f0-71c8-428a-a32f-3458721ed588","349"
"7ee3b84e-67e3-438d-8a35-850e325f6c6d","349"
